Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,172_134,Maize,2000_2010,1.8637615,0.3830816,-0.4673028,-0.0414077,54.65721,78.77472727,4039.947605,9267.163636,2.18,0.39
short,81_81,Maize,2000_2010,1.2099328,0.4838898,-0.4080195,-0.0549436,42.84322,92.33236364,8139.057194,11972.34545,1.45,0.5
short,50_52,Maize,2000_2010,0.8520293,0.3852809,-0.561623,-0.0557516,67.630862,98.18163636,9335.851908,10428.15455,0.98,0.4
short,72_95,Maize,2000_2010,1.1141075,0.416723,-0.0670781,-0.0555074,35.236004,47.10745455,8195.496538,13760.3,0.98,0.43
short,160_134,Maize,2000_2010,1.8406015,0.3826741,-0.632476,-0.0436208,48.921062,82.71509091,4265.906981,10306.3,2.18,0.39
short,68_150,Maize,2000_2010,1.5607308,0.4873199,-0.1458014,-0.0511526,34.745868,37.32990909,8866.404304,15558.19091,1.45,0.5
short,60_106,Maize,2000_2010,0.8733975,0.4531286,-0.5414649,-0.057344,74.538431,74.13736364,9125.282478,10646.36364,0.98,0.47
short,101_103,Maize,2000_2010,1.3163944,0.4857482,-0.3136883,-0.0542944,41.14754,69.54709091,7472.367158,11822.40909,1.45,0.5
short,82_157,Maize,2000_2010,1.4409742,0.5643926,-0.3137156,-0.054102,49.167741,29.00572727,8429.624888,13592.18182,1.45,0.58
short,144_134,Maize,2000_2010,1.9205846,0.3825835,-0.5654441,-0.0442287,31.769057,82.78645455,4539.255347,11828.32727,2.18,0.39
short,114_61,Maize,2000_2010,1.1031517,0.3593037,0.0581097,-0.0537542,37.352588,78.14318182,7695.724039,9959.572727,1,0.37
short,56_106,Maize,2000_2010,0.8275985,0.385454,-0.6925052,-0.0560275,65.457332,77.87418182,9013.142427,10564.23636,1,0.4
short,156_134,Maize,2000_2010,1.8446584,0.7540423,-0.6452426,-0.0473498,47.042918,18.31963636,4250.923528,10414.83636,2.18,0.77
short,113_103,Maize,2000_2010,0.9503048,0.3498608,-0.1326841,-0.054968,34.827657,74.41190909,7608.965378,11160.76364,0.9,0.36
short,98_101,Maize,2000_2010,1.4195359,0.4864556,-0.2030181,-0.0530268,39.155159,57.59654545,8007.499519,12397.93636,1.45,0.5
short,90_157,Maize,2000_2010,1.2142474,0.389406,-0.1264988,-0.0520005,40.172507,36.58336364,7813.328122,12397.12727,1,0.4
short,87_136,Maize,2000_2010,1.3820077,0.7559821,-0.5801432,-0.0560751,59.318398,33.73245455,8262.086768,13128.48182,1.65,0.78
short,49_131,Maize,2000_2010,0.8727983,0.3950837,-0.0160217,-0.056238,46.955044,96.57654545,9405.699817,11448.79091,0.79,0.41
short,149_103,Maize,2000_2010,1.7171833,0.3806521,-0.7535717,-0.0502646,39.787769,87.38009091,4664.118943,10874.52727,2.18,0.39
short,78_118,Maize,2000_2010,0.9646093,0.4164588,-0.0289645,-0.0553943,46.752665,47.34072727,8215.616862,11572.29091,0.86,0.43
short,95_136,Maize,2000_2010,1.085587,0.3591301,-0.1979353,-0.0550127,42.230566,53.46245455,7642.612244,12723.00909,1,0.37
short,77_167,Maize,2000_2010,1.4205747,0.7561381,-0.6858126,-0.0565276,80.452771,15.82818182,8686.196681,11283.63636,1.65,0.78
short,72_54,Maize,2000_2010,1.367357,0.6198976,-0.3402914,-0.054111,39.32207,70.66509091,9187.85203,13104.81818,1.61,0.64
short,88_149,Maize,2000_2010,1.0057585,0.3685403,-0.1313458,-0.0560528,47.386133,30.03718182,8030.520723,13088.36364,0.83,0.38
short,46_157,Maize,2000_2010,0.8371232,0.3847508,-0.6179056,-0.0565527,84.092556,48.04381818,8034.569935,9511.863636,0.98,0.4
short,111_77,Maize,2000_2010,0.9589955,0.3501652,0.3150544,-0.0527529,36.200659,61.235,6841.079026,9842.5,0.74,0.36
short,88_150,Maize,2000_2010,1.032428,0.359105,-0.0717653,-0.0561576,46.8283,24.729,8125.511433,13101.09091,0.83,0.37
short,80_106,Maize,2000_2010,1.1408676,0.6456227,-1.1210214,-0.0549894,61.457516,92.61090909,7730.279085,9874.8,1.95,0.67
short,92_106,Maize,2000_2010,1.1768471,0.4565495,-0.1492618,-0.0542639,37.313053,50.05381818,7848.590175,13063.02727,1.07,0.47
short,54_157,Maize,2000_2010,1.2735552,0.5622797,-0.5151133,-0.0560909,75.888842,54.39863636,8674.789287,11027.36364,1.43,0.58
short,143_99,Maize,2000_2010,1.7108742,0.4007803,-0.7890936,-0.0484835,21.264803,104.6630909,4948.53684,9818.572727,2.18,0.41
short,135_152,Maize,2000_2010,0.9473617,0.5367577,-0.207543,-0.0504773,33.47956,48.62354545,4368.383107,11688.82727,0.84,0.55
short,54_61,Maize,2000_2010,0.7069446,0.3849331,-0.3679663,-0.0553163,82.994848,43.46972727,7763.691237,10530.37273,0.83,0.4
short,78_101,Maize,2000_2010,1.4498522,1.2201769,-0.3994735,-0.0545532,23.802433,94.896,8534.294054,11573.09091,1.61,1.26
short,77_83,Maize,2000_2010,0.8950992,0.3769544,0.1390753,-0.0549432,49.924049,88.122,8208.918437,9943.709091,0.87,0.39
short,178_133,Maize,2000_2010,1.9178019,0.3839404,-0.3978406,-0.0377411,56.245853,94.91772727,3757.376777,7250.918182,2.18,0.39
short,70_157,Maize,2000_2010,0.9451777,0.366983,-0.3838213,-0.0572583,60.597603,51.40363636,8240.922975,10890.38182,1,0.38
short,68_63,Maize,2000_2010,0.9953061,0.3875105,0.2692196,-0.0538024,44.20258,15.77636364,8745.776581,14472.3,0.83,0.4
short,62_157,Maize,2000_2010,0.7256354,0.3852426,-0.5061352,-0.055941,81.267808,42.54154545,7720.930544,10415.12727,0.83,0.4
short,84_97,Maize,2000_2010,1.1007143,0.3590891,-0.0741797,-0.0545879,39.279699,48.17254545,8135.284871,12949.33636,1,0.37
short,55_44,Maize,2000_2010,1.2533407,0.3752984,-1.1867349,-0.0546043,59.389053,116.5150909,10013.31154,10607.65455,2.18,0.39
short,98_118,Maize,2000_2010,1.4567322,0.4873,-0.2421809,-0.0518752,46.867024,39.02036364,7354.30687,12193.65455,1.45,0.5
short,114_78,Maize,2000_2010,0.9997929,0.3892102,0.1355028,-0.0532904,36.142818,64.47590909,7064.091729,10665.21818,0.83,0.4
short,85_73,Maize,2000_2010,1.2680071,0.4838665,-0.2829272,-0.0546536,44.151778,66.42154545,8661.327505,12361.95455,1.45,0.5
short,69_87,Maize,2000_2010,1.117534,0.4821901,-0.6057691,-0.0546558,64.905085,43.28827273,8207.763435,11414.18182,1.45,0.5
short,106_133,Maize,2000_2010,1.1426898,0.3597576,-0.1603654,-0.054143,50.17824,16.32418182,7474.987717,12674.26364,1,0.37
short,114_133,Maize,2000_2010,1.1657757,0.2920395,-0.0563304,-0.0530491,44.715544,27.46127273,7419.51796,11850.65455,0.99,0.3
short,81_98,Maize,2000_2010,0.9445329,0.3583511,0.1568251,-0.0561152,35.301898,71.85354545,8186.017945,11445.84545,0.74,0.37
short,151_104,Maize,2000_2010,2.0822943,1.2611069,-0.6555197,-0.0485313,49.661103,96.92863636,4520.09452,8732.427273,2.59,1.29
short,159_152,Maize,2000_2010,1.8197594,0.3826868,-0.5539353,-0.0431566,45.572479,81.01527273,4355.937384,10504.9,2.18,0.39
short,105_83,Maize,2000_2010,1.0269877,0.3592377,0.3547938,-0.054932,34.609065,68.99709091,8154.552971,10322.22727,0.83,0.37
short,94_130,Maize,2000_2010,1.2604073,0.4853581,-0.3946476,-0.0552434,55.361776,15.41663636,7909.018613,12824.52727,1.26,0.5
short,86_130,Maize,2000_2010,1.5509143,0.649476,-0.7099065,-0.0555379,71.003387,22.26990909,8269.161966,11883.45455,1.95,0.67
short,148_105,Maize,2000_2010,1.778077,0.8885452,-0.6541364,-0.0489074,38.719571,85.30281818,4833.981944,10802.60909,2.18,0.91
short,94_88,Maize,2000_2010,0.9251356,0.3488283,0.0793729,-0.0557881,53.181167,52.24081818,7891.349903,10034.78182,0.74,0.36
short,63_77,Maize,2000_2010,0.7215899,0.3858436,-0.1839514,-0.0566916,77.031186,0.389545455,7667.299238,11677.65455,0.65,0.4
short,81_119,Maize,2000_2010,0.882933,0.3563678,-0.502944,-0.0565082,38.887545,104.949,8133.563372,10976.49091,1,0.37
short,64_161,Maize,2000_2010,0.6883748,0.2899156,0.0307332,-0.057802,49.641008,60.52681818,8083.050954,11693.03636,0.5,0.3
short,55_148,Maize,2000_2010,0.9365404,0.4158696,-0.3335971,-0.056531,63.344618,41.56136364,8887.000294,12810.26364,0.96,0.43
short,62_52,Maize,2000_2010,1.118269,0.7335842,-0.7146119,-0.0541032,56.433218,60.92118182,9825.53314,12685.86364,1.58,0.76
short,76_161,Maize,2000_2010,1.2745645,0.6586417,-0.8331811,-0.0587086,90.773979,48.47181818,7787.390465,9509.690909,1.68,0.68
short,93_119,Maize,2000_2010,1.4294853,0.3893222,-0.2670817,-0.0526914,42.20409,55.51227273,7637.075408,12045.01818,1.45,0.4
short,124_105,Maize,2000_2010,1.7628368,0.3801397,-0.5859572,-0.0519198,41.934604,80.37481818,8251.926678,11594.56364,2.18,0.39
short,69_156,Maize,2000_2010,1.0999557,0.3875374,-7.46E-03,-0.0559832,49.044546,36.20609091,9021.717778,12058.66364,1,0.4
short,73_100,Maize,2000_2010,1.0162424,0.3489182,0.1184515,-0.0555276,25.932475,52.64681818,8498.705,13817.67273,0.74,0.36
short,91_87,Maize,2000_2010,0.9149797,0.3488164,0.1273632,-0.0549748,50.378794,56.413,7711.05839,10435.07273,0.74,0.36
short,173_132,Maize,2000_2010,0.5597747,0.2063347,0.4912575,-0.0412258,35.428987,56.68818182,3368.566428,8891.2,0.4,0.21
short,136_105,Maize,2000_2010,0.7286845,0.3023406,-0.3971667,-0.0515344,28.405237,57.51745455,4808.232155,11312.9,0.7,0.31
short,104_67,Maize,2000_2010,1.3762998,0.4854399,-0.2255092,-0.0541145,40.531038,83.64763636,8580.769323,10787.80909,1.45,0.5
short,91_151,Maize,2000_2010,1.1989122,0.4854118,-0.3360621,-0.0552737,39.272102,67.32227273,7936.498947,12087.75455,1.16,0.5
short,112_105,Maize,2000_2010,1.0231011,0.3693858,-0.0143294,-0.0544964,36.891441,59.83245455,7316.021299,11512.8,0.86,0.38
short,99_107,Maize,2000_2010,1.0859815,0.3593768,-0.0740309,-0.0544191,43.18618,50.72354545,7414.164127,11680.07273,1,0.37
short,66_78,Maize,2000_2010,1.1564271,0.4631133,-0.606056,-0.0581172,52.863983,60.94490909,8497.600832,12574.64545,1.37,0.48
short,83_151,Maize,2000_2010,1.2465516,0.3873,-0.5825189,-0.0566761,54.904543,43.93909091,7960.454815,12330.1,1.45,0.4
short,79_98,Maize,2000_2010,0.9927723,0.3575412,-0.3296009,-0.0571183,38.739141,96.722,7611.584794,10190.85455,1,0.37
short,100_105,Maize,2000_2010,1.1755879,0.3592746,-0.122811,-0.0545025,46.659951,49.74490909,7527.317152,11383.76364,1.2,0.37
short,145_132,Maize,2000_2010,1.9178544,0.3826797,-0.5676497,-0.0437306,32.617959,87.06436364,4348.184135,10949.09091,2.18,0.39
short,45_119,Maize,2000_2010,1.0713726,0.6268797,-0.6714933,-0.0555856,74.452519,91.993,9888.51391,9672.018182,1.5,0.65
short,79_81,Maize,2000_2010,0.9571208,0.3482428,0.0577106,-0.055606,39.201913,90.06109091,8222.262414,10568.93636,0.83,0.36
short,83_148,Maize,2000_2010,0.5863799,0.1643492,0.0481456,-0.0570453,39.098873,62.457,7847.184373,11403.48182,0.41,0.17
short,95_75,Maize,2000_2010,0.935857,0.4167068,0.3619138,-0.0554687,43.681614,58.54136364,8207.885538,10265.81818,0.65,0.43
short,66_61,Maize,2000_2010,0.9799564,0.4159221,0.2580069,-0.0536899,49.59987,7.538272727,9103.993416,13753.36364,0.87,0.43
short,91_148,Maize,2000_2010,1.0661716,0.2810517,-0.2755119,-0.0562166,50.723772,42.34318182,8016.243256,12885.81818,0.99,0.29
short,115_135,Maize,2000_2010,1.2446016,0.360368,-0.0748047,-0.0530403,39.897208,35.44263636,7570.294741,12331.5,1.07,0.37
short,50_130,Maize,2000_2010,0.9546597,0.3566993,-0.316566,-0.0573204,49.795738,102.075,9275.546267,11694.02727,1,0.37
short,150_102,Maize,2000_2010,1.7027034,0.3812236,-0.902911,-0.0488402,28.650173,94.29236364,4438.478006,9668.009091,2.18,0.39
short,61_119,Maize,2000_2010,0.6871663,0.3849935,-0.42536,-0.0559154,40.670253,93.80836364,8679.385345,11948.49091,0.7,0.4
short,142_102,Maize,2000_2010,1.468881,0.380455,-0.8148798,-0.0496581,39.983416,76.62,5023.927835,11021.47273,1.97,0.39
short,100_95,Maize,2000_2010,1.0050283,0.3494871,0.0348667,-0.0546175,36.925732,68.71409091,7512.278138,11278.19091,0.86,0.36
short,107_135,Maize,2000_2010,0.814051,0.2915649,-0.0782314,-0.0541604,34.026195,47.78381818,7507.615052,12159.67273,0.63,0.3
short,123_77,Maize,2000_2010,1.0847801,0.3502249,-0.0829005,-0.0521258,35.842811,71.485,6715.803091,9925.018182,0.99,0.36
short,84_161,Maize,2000_2010,0.9835438,0.3493291,-0.0448759,-0.0568694,50.866706,23.60272727,8165.401661,12318.9,0.74,0.36
short,93_100,Maize,2000_2010,1.2977055,0.5637058,-0.0947913,-0.054628,46.926831,52.67627273,7816.116978,11011.54545,1.16,0.58
short,55_151,Maize,2000_2010,0.810913,0.4808986,-0.659915,-0.0559939,74.960653,72.86954545,7958.176677,10202.98182,1.04,0.5
short,47_151,Maize,2000_2010,0.7964705,0.3854148,-0.1036505,-0.0548808,59.487562,88.06327273,9532.942966,10314.26364,0.83,0.4
short,81_100,Maize,2000_2010,0.7961067,0.3561003,-0.544499,-0.0566747,47.635155,105.1915455,7413.56974,9248.154545,1,0.37
short,89_156,Maize,2000_2010,1.2142853,0.3603038,-0.0764652,-0.0525735,42.706154,27.22481818,7656.722311,13253.13636,1,0.37
short,94_91,Maize,2000_2010,1.2080247,0.5633615,-0.1683546,-0.0554047,63.884282,34.92936364,7421.992451,10164.06364,1.16,0.58
short,86_129,Maize,2000_2010,1.0952484,0.3877949,-0.2634934,-0.0555308,47.772415,23.50036364,7792.234204,13276.23636,1.05,0.4
short,139_98,Maize,2000_2010,1.0714806,0.3809094,-0.1764591,-0.0494474,27.972744,83.25518182,6851.722801,9569.018182,1.04,0.39
short,94_129,Maize,2000_2010,1.2654603,0.4860439,-0.2198889,-0.0544318,53.030635,8.293181818,7789.159405,12839.99091,1.14,0.5
short,126_78,Maize,2000_2010,1.1501334,0.3895131,-0.1162453,-0.0516129,39.114183,66.63645455,6645.5593,10147.42727,1.07,0.4
short,71_151,Maize,2000_2010,1.2186365,0.3595968,-2.05E-03,-0.0545469,34.954753,34.56709091,8875.820482,14936.52727,1,0.37
short,44_67,Maize,2000_2010,0.5000736,0.289109,0.0508929,-0.0530602,99.551965,0,7331.440524,8600.881818,0.46,0.3
short,79_107,Maize,2000_2010,0.9146548,0.3567772,-0.4733168,-0.0575586,34.369794,100.4448182,8004.239558,11818.1,1,0.37
short,67_85,Maize,2000_2010,0.8841963,0.3867159,-0.2784355,-0.0551004,62.815884,25.55709091,8007.281084,12578.09091,0.87,0.4
short,68_109,Maize,2000_2010,1.1965623,1.3891852,-0.5373931,-0.0546228,50.8683,112.2986364,9432.961472,11524.33636,1.61,1.44
short,143_144,Maize,2000_2010,1.063078,0.4595275,-0.4526954,-0.0479726,33.61875,61.77654545,3621.125358,10587.50909,1.07,0.47
short,109_96,Maize,2000_2010,1.445262,0.6702189,-0.3287274,-0.0547056,47.046402,90.11445455,8276.53699,9580.8,1.65,0.69
short,85_127,Maize,2000_2010,1.0292733,0.2714344,-0.0832319,-0.0564934,38.829337,44.827,7947.985397,12310.19091,0.83,0.28
short,116_76,Maize,2000_2010,1.0355836,0.3499436,-0.014056,-0.0537905,38.11416,77.10418182,6576.658836,9667.127273,0.99,0.36
short,37_168,Maize,2000_2010,0.921562,0.4533052,0.2109153,-0.0556075,69.901628,59.65745455,10204.90832,10687.53636,0.75,0.47
short,97_127,Maize,2000_2010,1.4418479,0.4866253,-0.3458129,-0.0532116,46.359425,49.06572727,7718.783975,12124.1,1.45,0.5
short,159_112,Maize,2000_2010,1.8112476,0.4014557,-0.5824417,-0.0467769,44.977827,90.92063636,4238.000903,8592.818182,2.18,0.41
short,151_144,Maize,2000_2010,1.757579,0.3818841,-0.6825175,-0.0466451,44.619242,83.58518182,4383.133888,10805.54545,2.18,0.39
short,59_120,Maize,2000_2010,0.9373481,0.5588653,-0.4938809,-0.0557195,59.984446,124.8920909,9059.745112,9725.836364,1.2,0.58
short,138_125,Maize,2000_2010,1.2659309,0.4879466,-0.6672874,-0.0509865,42.418057,53.33872727,4176.631055,11127.81818,1.45,0.5
short,83_96,Maize,2000_2010,1.1221048,0.3589136,2.92E-03,-0.0552372,31.735585,65.494,8231.320512,12797.45455,1,0.37
short,52_45,Maize,2000_2010,0.677479,0.3745858,-0.1255888,-0.053158,54.453537,80.61872727,9662.959915,10201.82727,0.7,0.39
short,144_98,Maize,2000_2010,1.8739669,0.3827677,-0.7500174,-0.0447148,21.637286,123.6273636,4062.793175,8664.563636,2.18,0.39
short,167_144,Maize,2000_2010,1.8488288,0.3831319,-0.4502243,-0.040995,46.030951,78.475,4108.499505,9880.309091,2.18,0.39
short,53_60,Maize,2000_2010,0.742658,0.3847412,-0.7745619,-0.0559473,85.51636,62.45681818,7734.169979,9349.336364,0.98,0.4
short,70_82,Maize,2000_2010,0.895549,0.3771003,-0.1977503,-0.0545874,58.218172,35.53872727,7526.917953,11499.49091,0.87,0.39
short,135_112,Maize,2000_2010,1.6436464,0.4891435,-0.06185,-0.0477746,35.071114,74.13909091,7021.553882,10852.28182,1.45,0.5
short,70_117,Maize,2000_2010,1.0348858,0.3575775,-0.6262955,-0.0593845,40.318591,99.17790909,8744.89177,13022.33636,1,0.37
short,49_168,Maize,2000_2010,0.819483,0.453219,-0.2145959,-0.0568966,64.916491,88.01054545,9109.582705,10279.71818,0.75,0.47
short,62_117,Maize,2000_2010,0.6631933,0.3848125,-0.4220194,-0.0558247,42.663089,104.2946364,8576.059296,10899.57273,0.7,0.4
short,71_66,Maize,2000_2010,0.9977607,0.3573819,-0.0210516,-0.0549359,33.161725,77.75563636,8574.108035,11832.7,1,0.37
short,52_84,Maize,2000_2010,0.8789302,0.3770501,-0.3603564,-0.0566287,84.13696,12.26736364,8258.129496,10331.24545,0.87,0.39
short,162_125,Maize,2000_2010,4.3099584,0.7965224,-0.6523886,-0.0398242,73.415603,74.56072727,3289.481204,7729.336364,5.27,0.81
short,113_79,Maize,2000_2010,1.0670001,0.3692917,-6.11E-03,-0.0545199,38.597012,66.89754545,7181.311611,10501.9,1,0.38
short,146_125,Maize,2000_2010,3.9987861,0.7920825,-0.7857963,-0.0481775,62.052282,51.21163636,4957.020708,11161.94545,5.27,0.81
short,108_72,Maize,2000_2010,1.345159,0.4852318,-0.2016859,-0.0543197,38.600017,75.83654545,8697.156175,11575.50909,1.45,0.5
short,80_146,Maize,2000_2010,0.9981677,0.2804975,-0.3119385,-0.0577009,56.0774,62.37036364,8223.047632,10685.94545,0.99,0.29
short,86_99,Maize,2000_2010,1.0076568,0.4174996,0.2506849,-0.054454,31.852139,61.35618182,8057.444526,12712.11818,0.74,0.43
short,103_112,Maize,2000_2010,1.3358454,0.4859975,-0.3205232,-0.0541507,61.296813,23.48090909,7412.752651,11441.06364,1.45,0.5
short,88_110,Maize,2000_2010,1.0275984,0.3498881,0.1658075,-0.0540988,28.938634,52.515,7858.548245,13346.6,0.74,0.36
short,119_144,Maize,2000_2010,0.7555396,0.3508738,-0.5851876,-0.0520931,25.95405,62.10345455,4120.722826,11797.36364,0.74,0.36
short,92_146,Maize,2000_2010,1.2716999,0.5342407,-0.2613333,-0.055283,55.294237,25.40645455,8121.013265,12922.94545,1.19,0.55
short,111_112,Maize,2000_2010,1.0196778,0.3791363,-0.2681652,-0.0538865,35.446652,66.15690909,7346.883623,11759.49091,1.07,0.39
short,154_125,Maize,2000_2010,1.4091204,0.4904542,-0.2294849,-0.0439538,36.87595,46.20263636,4359.847829,11262.12727,1.39,0.5
short,75_94,Maize,2000_2010,0.7763952,0.4143498,-0.1368684,-0.056452,43.224215,95.94172727,7770.903765,11275.17273,0.7,0.43
short,56_76,Maize,2000_2010,0.8634569,0.4155606,-0.1629211,-0.0571635,81.300366,11.83872727,7813.229587,9679.736364,0.87,0.43
short,132_122,Maize,2000_2010,1.260022,0.5862503,-0.7238634,-0.0491764,40.438438,58.42590909,3915.923751,10798.63636,1.45,0.6
short,88_109,Maize,2000_2010,1.0527445,0.359767,0.2299963,-0.0533812,26.792897,62.03309091,8010.139398,13011.27273,0.74,0.37
short,120_122,Maize,2000_2010,1.0774152,0.3508824,0.385736,-0.0527941,34.489568,19.123,8110.032669,13598.24545,0.74,0.36
short,86_80,Maize,2000_2010,0.9852657,0.3782412,-0.0210786,-0.0554655,54.502765,55.42918182,7714.95299,10320.87273,0.87,0.39
short,165_115,Maize,2000_2010,1.8024753,0.3824891,-0.6782045,-0.0442853,37.181824,92.50809091,4235.526585,9086.163636,2.18,0.39
short,57_53,Maize,2000_2010,0.5775889,0.2976955,-0.5791706,-0.0542179,64.061932,104.1980909,8413.884015,9693.590909,0.7,0.31
short,113_60,Maize,2000_2010,1.2032079,0.3884097,-0.1144684,-0.0538093,38.196863,79.34027273,7822.21274,10039.55455,1.16,0.4
short,104_122,Maize,2000_2010,1.1594218,0.3594373,-0.0640889,-0.0545885,42.341688,39.83045455,7462.383118,12269.36364,1.07,0.37
short,149_143,Maize,2000_2010,1.056189,0.4207466,-0.0412572,-0.0474423,38.881884,50.49081818,3785.015622,10474.71818,0.96,0.43
short,41_127,Maize,2000_2010,1.1497185,1.3921627,-0.9663942,-0.055866,95.370118,40.83809091,9664.224663,11474.91818,1.61,1.44
short,141_115,Maize,2000_2010,1.3240873,0.4885936,-0.4551484,-0.049134,35.974674,55.99972727,4625.001133,11202.29091,1.45,0.5
short,78_158,Maize,2000_2010,1.0935411,0.5631394,-0.3256664,-0.0597065,74.201517,17.38936364,8006.03861,10636.44545,1.04,0.58
short,153_115,Maize,2000_2010,4.3594835,0.7956703,-0.72184,-0.0418285,66.297531,76.79472727,4003.491367,9165.890909,5.27,0.81
short,116_122,Maize,2000_2010,1.7685632,0.4964748,-0.4622694,-0.0530532,50.755437,47.54145455,8062.181006,12398.30909,2.02,0.51
short,109_115,Maize,2000_2010,0.9513053,0.3789192,0.2281527,-0.0542374,40.643505,40.53872727,7345.118675,11142.36364,0.7,0.39
short,82_117,Maize,2000_2010,1.3451449,0.4850979,-0.3956363,-0.0551919,41.544835,48.17009091,8188.599716,12662.84545,1.45,0.5
short,182_125,Maize,2000_2010,1.0779009,0.4026103,-0.1339144,-0.0424158,44.877226,64.97081818,3728.401064,8341.263636,1.04,0.41
short,101_143,Maize,2000_2010,0.8303873,0.2822088,-0.0506368,-0.0539027,32.550896,44.86772727,7598.035822,12983.84545,0.7,0.29
short,112_84,Maize,2000_2010,0.812622,0.2816147,0.0805628,-0.0536442,35.919906,68.22918182,7392.716993,9877.463636,0.7,0.29
short,56_146,Maize,2000_2010,0.9221518,0.385866,-1.84E-03,-0.0555067,31.894701,85.84636364,8810.106107,11041.68182,0.83,0.4
short,90_117,Maize,2000_2010,1.0388835,0.3595541,0.305712,-0.0538649,28.23797,52.83963636,7889.683343,12443.62727,0.74,0.37
short,113_143,Maize,2000_2010,1.2259873,0.3602652,-0.1028777,-0.0531643,45.231365,22.23190909,7647.291087,12913.35455,1.07,0.37
short,98_141,Maize,2000_2010,1.120161,0.3694907,-0.1603872,-0.0543505,39.774844,37.54818182,7562.671833,13140.04545,0.99,0.38
short,98_84,Maize,2000_2010,1.041422,0.3688963,0.1913468,-0.0544709,38.984763,63.52845455,7934.974826,10445.41818,0.86,0.38
short,137_143,Maize,2000_2010,1.6730334,0.3805,-0.8216185,-0.0507593,34.898289,84.39663636,4471.156185,11484.26364,2.18,0.39
short,49_57,Maize,2000_2010,0.495508,0.4120573,-0.9126887,-0.0535518,77.610487,104.1685455,7154.290528,7227.709091,0.65,0.43
short,125_143,Maize,2000_2010,0.8783566,0.3510302,-0.5514046,-0.0517994,35.474986,45.92836364,3973.998946,11639.39091,0.83,0.36
short,75_55,Maize,2000_2010,1.7230426,1.0338829,-0.8165369,-0.0539952,52.97359,108.2532727,9200.16341,11686.7,2.72,1.07
short,168_122,Maize,2000_2010,4.3414809,0.796322,-0.5273942,-0.0405705,70.052037,60.26118182,3815.78433,8969.863636,5.27,0.81
short,48_72,Maize,2000_2010,0.6434996,0.3463823,0.3986612,-0.0544409,85.657259,0,7815.282055,9378.045455,0.47,0.36
short,68_110,Maize,2000_2010,1.1399243,0.5611011,-0.136954,-0.0538043,45.555453,82.27181818,9029.615476,12111.94545,1.2,0.58
short,61_60,Maize,2000_2010,0.6361931,0.2896524,0.016882,-0.0566398,53.882745,37.43190909,8628.460374,12966.72727,0.5,0.3
short,163_123,Maize,2000_2010,4.3076846,0.7965798,-0.6252628,-0.0394563,73.433824,70.92390909,3211.01388,7485.372727,5.27,0.81
short,60_45,Maize,2000_2010,0.7910393,0.3848662,-0.0178328,-0.0533913,36.527124,82.33945455,9659.962685,10881.42727,0.86,0.4
short,134_114,Maize,2000_2010,1.2789969,0.5859273,-0.6576106,-0.0496917,32.972527,73.29927273,4002.463515,10561.92727,1.45,0.6
short,79_147,Maize,2000_2010,1.1324292,0.5615713,-0.3442858,-0.0575214,50.977057,57.77427273,8218.908087,12257.43636,1.16,0.58
short,92_74,Maize,2000_2010,1.0303667,0.3583358,-0.0353867,-0.0553674,47.037279,72.33572727,7874.378912,10086.22727,1,0.37
short,71_111,Maize,2000_2010,0.9721032,0.356936,-0.2682653,-0.0566528,49.703163,72.42581818,8810.567168,11849.10909,1,0.37
short,46_69,Maize,2000_2010,0.5839062,0.3845289,-0.1454129,-0.0552502,114.698327,2.089454545,7338.777435,8482.836364,0.6,0.4
short,110_114,Maize,2000_2010,0.9364766,0.417904,0.2428052,-0.0546999,41.34188,31.75218182,7299.333508,12362.64545,0.7,0.43
short,118_142,Maize,2000_2010,0.8808918,0.2921643,-0.7686066,-0.0530017,31.566001,60.40472727,3978.179999,11950.84545,0.99,0.3
short,93_140,Maize,2000_2010,1.0859966,0.3685393,-0.1133566,-0.0554718,48.981735,27.31609091,8079.814763,12682.54545,1,0.38
short,107_94,Maize,2000_2010,1.1122018,0.3883321,0.1177179,-0.0551987,34.991165,83.47454545,7916.49517,9694.809091,0.97,0.4
short,124_76,Maize,2000_2010,1.2054168,0.4577688,-0.0704907,-0.0500645,26.38591,73.55781818,6648.243813,10103.30909,1.16,0.47
short,155_123,Maize,2000_2010,4.1023826,0.7934287,-0.6963061,-0.0459767,66.181727,57.02527273,4631.387783,10029.06364,5.27,0.81
short,147_123,Maize,2000_2010,4.0425432,0.7928285,-0.7382703,-0.0462137,61.590543,60.25127273,4705.757585,10192.57273,5.27,0.81
short,102_114,Maize,2000_2010,1.0017163,0.417989,0.1021135,-0.0539147,43.246857,31.09790909,7270.845476,12134.48182,0.83,0.43
short,89_116,Maize,2000_2010,1.0100335,0.3593578,0.189574,-0.0541496,35.278758,41.43363636,7914.260379,12434.93636,0.74,0.37
short,96_121,Maize,2000_2010,1.1761159,0.2821484,-0.0429134,-0.0535051,44.191954,24.251,7595.752603,12334.09091,0.99,0.29
short,106_70,Maize,2000_2010,1.3643823,0.4855669,-0.2353579,-0.0538411,41.607027,80.38754545,8374.622636,10405.58182,1.45,0.5
